type,osm_id,name,amenity,latitude,longitude
way,399291522,Temple of God Deliverance Church,place_of_worship,42.3651213,-82.9940147
way,399291542,New Canaan Baptist Church,place_of_worship,42.3663797,-82.9928751
way,399291599,Iroquois Avenue Christ Lutheran Church,place_of_worship,42.3622594,-82.9979273
way,399294169,Mt. Zion Baptist Church,place_of_worship,42.3674568,-83.0059098
way,399294183,Greater Macedonia Baptist Church,place_of_worship,42.3676876,-83.0036684
way,399294330,Excellent Priase Worship Center,place_of_worship,42.3676038,-83.0050877
way,399294407,Greater Christ Baptist Church,place_of_worship,42.3684981,-83.0011285
way,400270675,Christian Liberty Baptist Church,place_of_worship,42.3691239,-82.9915971
way,400277114,Flame of Fire House of Prayer Ministries,place_of_worship,42.3651193,-82.9842031
way,400277800,Pure in Heart Baptist Church,place_of_worship,42.3689078,-82.995005
way,404380346,Quest Charter Academy,school,42.2662884,-83.2787699
way,405711432,New Christian Missionary Baptist Church,place_of_worship,42.3687001,-82.974875
way,405711436,St. Stephens Missionary Baptist Church,place_of_worship,42.3700191,-82.9775329
way,405711446,True Light Baptist Church,place_of_worship,42.3713701,-82.9746255
way,405712820,Church of Our Faith Missionary Baptist Church,place_of_worship,42.371869,-82.9757953
way,405721750,Saint Maron Cathedral,place_of_worship,42.3691987,-82.9713752
way,405723145,Spiritual Israel Church and Its Army,place_of_worship,42.3644084,-82.9869314
way,405794659,Legacy Charter Academy,school,42.428793,-83.054176
way,407269301,Whitmore-Bolles Elementary School,school,42.2885793,-83.2486317
way,407487377,Howard Elementary School,school,42.3224418,-83.2661516
way,408061905,Revelation Church of Holiness,place_of_worship,42.3694874,-82.9993264
way,408252109,,school,42.3568642,-83.1920875
way,408252114,New Testabment Church of God in Christ,place_of_worship,42.3579274,-83.1919343
way,408490460,Willis Temple Church of God in Christ,place_of_worship,42.3704164,-82.9989215
way,408751915,Fordson High School,school,42.3313187,-83.1783558
way,408780940,Second Timothy Baptist Church,place_of_worship,42.3764768,-83.0108484
way,408781432,Mt. Calvary Missionary Baptist Church,place_of_worship,42.3756371,-83.0077287
way,408782344,Triumph Perfecting Church,place_of_worship,42.3742771,-83.0030012
way,408958572,Bethesda Missionary Baptist Church of David Street,place_of_worship,42.3745825,-83.0013304
way,409004427,New Welcome Baptist Church,place_of_worship,42.3828242,-83.0104192
way,409004679,Divine Deliverance Outreach Ministries,place_of_worship,42.3832417,-83.0094129
way,409049765,Dearborn Congregational Church,place_of_worship,42.3027291,-83.1974287
way,409130500,Good Hope Missionary Baptist Church of Detroit,place_of_worship,42.4348433,-82.9999847
way,409130502,Open Door Church of God in Christ,place_of_worship,42.4349893,-82.9978953
way,409130503,New Beginnings Baptist Church,place_of_worship,42.4344622,-82.9976763
way,409130505,True Rock Church,place_of_worship,42.4212482,-83.0021364
way,409618210,Wayside Missionary Baptist Church,place_of_worship,42.3796094,-83.0029576
way,409621828,Christian Faith Tabernacle Church,place_of_worship,42.3786997,-82.9984648
way,409621877,Detroit Mount Neby Missionary Church,place_of_worship,42.3795659,-82.9973274
way,409622940,Bethlehem Temple Church of Detroit,place_of_worship,42.3868983,-83.001024
way,409623296,Setfree International Ministries,place_of_worship,42.3844222,-82.9993932
way,409624632,Burns Seventh Day Adventist Church,place_of_worship,42.3831292,-82.9965426
way,409624665,Christian Light Missionary Baptist Church,place_of_worship,42.379914,-82.9953557
way,409625481,New Zion Missionary Baptist Church,place_of_worship,42.3788059,-82.9926094
way,410109877,Restore Church,place_of_worship,42.372688,-83.1102844
way,410109894,New Bethel Baptist Church,place_of_worship,42.3679544,-83.1047061
way,410383830,Dedicated Senior Medical Center,doctors,42.3545505,-83.2755496
way,410395370,Prince of Peace Baptist Church,place_of_worship,42.3892957,-83.1192164
way,410395373,New Greater First Baptist Church,place_of_worship,42.3871728,-83.1184399
way,410395442,St. Andrew AME Church,place_of_worship,42.3879529,-83.1189902
way,411821524,Missionary Baptist Church,place_of_worship,42.3714007,-82.9887626
way,411821550,Trinity Hope Tabernacle,place_of_worship,42.3733042,-82.9908754
way,411821582,New Mt. Moriah Church,place_of_worship,42.3728786,-82.9907238
way,411821622,Saunders Memorial AME Church,place_of_worship,42.372995,-82.9915587
way,411828915,Coggins Memorial Christian Methodist Episcopal Church,place_of_worship,42.3824254,-82.9950846
way,412518900,Mack Ave Community Church,place_of_worship,42.3763776,-82.9861886
way,412522422,New Rising Star Missionary Baptist Church,place_of_worship,42.3763267,-82.9854837
way,412522490,Highest Praise Church of God in Christ,place_of_worship,42.3763406,-82.9840863
way,412522500,Vangaurd Family Health Care P.C.,doctors,42.3770965,-82.9836839
way,412526622,Christ Cornerstone Missionary Baptist Church,place_of_worship,42.3775321,-82.9827145
way,412526624,Apostolic Way Church of God,place_of_worship,42.3726661,-82.9774874
way,412578519,Haigh Elementary School,school,42.3158208,-83.2826441
way,414488911,Saint Bernard of Clairvaux Roman Catholic Church,place_of_worship,42.3783761,-82.9812929
way,414491399,Siloam Missionary Baptist Church,place_of_worship,42.3759821,-82.9777272
way,415139757,Faith Temple Baptist Church,place_of_worship,42.3845998,-82.9901792
way,415140381,Apostle Paul Missionary Baptist Church,place_of_worship,42.3824386,-82.9835092
